tool_category,tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present
Individual missense predictor,VEST4,Other coding,67,0,67,0,VEST4_score_seperated
Splicing predictor,ada_score,Other coding,67,0,67,0,ada_score; ada_score_new
Splicing predictor,rf_score,Other coding,67,0,67,0,rf_score; rf_score_new
Splicing predictor,MaxEntScan,Other coding,67,0,67,0,MaxEntScan_diff; MaxEntScan_alt_new; MaxEntScan_diff_new; MaxEntScan_ref_new
Conservation score,GERP++,Other coding,67,0,67,0,GERP++_RS
Conservation score,phyloP,Other coding,67,0,67,0,phyloP100way_vertebrate; phyloP30way_mammalian; phyloP17way_primate_new
Conservation score,phastCons,Other coding,67,0,67,0,phastCons30way_mammalian; phastCons17way_primate; phastCons17way_primate_new
Conservation score,SiPhy,Other coding,67,0,67,0,SiPhy_29way_logOdds
Conservation score,fitCons,Other coding,67,0,67,0,integrated_fitCons_score
Conservation score,Eigen-PC,Other coding,67,0,67,0,None
Substitution matrix / descriptive feature,BLOSUM62,Other coding,67,0,67,0,BLOSUM62_new
Gene-level intolerance / LoF metric,Aloft,Other coding,67,0,67,0,Aloft_pred_new; Aloft_Confidence_new
Gene-level intolerance / LoF metric,LoFtool,Other coding,67,0,67,0,LoFtool_score_new
Gene-level intolerance / LoF metric,HIPred,Other coding,67,0,67,0,HIPred_score_new
Gene-level intolerance / LoF metric,GDI,Other coding,67,0,67,0,GDI_new
Gene-level intolerance / LoF metric,GHIS,Other coding,67,0,67,0,GHIS_new
Meta/ensemble predictor,Condel,Other coding,67,0,67,0,Condel_score
Continuous deleteriousness / constraint score,CADD,Splice-related,71,69,2,97.2,CADD_PHRED; CADD_PHRED_new; CADD_RAW_new
Splicing predictor,SpliceAI,Splice-related,71,65,6,91.5,SpliceAI_pred_DS_AG_new; SpliceAI_pred_DS_AL_new; SpliceAI_pred_DS_DG_new; SpliceAI_pred_DS_DL_new; SpliceAI_pred_SYMBOL_new
Splicing predictor,MaxEntScan,Splice-related,71,59,12,83.1,MaxEntScan_diff; MaxEntScan_alt_new; MaxEntScan_diff_new; MaxEntScan_ref_new
Splicing predictor,ada_score,Splice-related,71,58,13,81.7,ada_score; ada_score_new
Splicing predictor,rf_score,Splice-related,71,58,13,81.7,rf_score; rf_score_new
Individual missense predictor,SIFT,Splice-related,71,0,71,0,SIFT_score; SIFT_new
Individual missense predictor,PolyPhen-2,Splice-related,71,0,71,0,PolyPhen_score; PolyPhen_new
Individual missense predictor,MutationTaster,Splice-related,71,0,71,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new
Individual missense predictor,LRT,Splice-related,71,0,71,0,LRT_score
Individual missense predictor,MutationAssessor,Splice-related,71,0,71,0,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new
Individual missense predictor,PROVEAN,Splice-related,71,0,71,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new
Individual missense predictor,FATHMM,Splice-related,71,0,71,0,FATHMM_score_seperated
Meta/ensemble predictor,FATHMM-MKL,Splice-related,71,0,71,0,fathmm-MKL_coding_score
Modern/deep learning predictor,FATHMM-XF,Splice-related,71,0,71,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new
Meta/ensemble predictor,REVEL,Splice-related,71,0,71,0,REVEL_score; REVEL_score_new; REVEL_new
Meta/ensemble predictor,ClinPred,Splice-related,71,0,71,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new
Meta/ensemble predictor,MetaSVM,Splice-related,71,0,71,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new
Meta/ensemble predictor,MetaLR,Splice-related,71,0,71,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new
Meta/ensemble predictor,BayesDel addAF,Splice-related,71,0,71,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new
Meta/ensemble predictor,BayesDel noAF,Splice-related,71,0,71,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new
Meta/ensemble predictor,LIST-S2,Splice-related,71,0,71,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new
Continuous deleteriousness / constraint score,DANN,Splice-related,71,0,71,0,DANN_score; DANN_score_new
Modern/deep learning predictor,DEOGEN2,Splice-related,71,0,71,0,DEOGEN2_score_new; DEOGEN2_pred_new
