threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
2.927,2.927,742,532,49,142,19,0.783,0.966,0.257,0.611,0.336
2.903,2.903,742,533,48,143,18,0.783,0.967,0.251,0.609,0.336
2.653,2.653,742,535,46,145,16,0.783,0.971,0.241,0.606,0.335
1.171,1.171,742,544,37,154,7,0.783,0.987,0.194,0.591,0.335
3.671,3.671,742,528,52,139,23,0.782,0.958,0.272,0.615,0.334
2.581,2.581,742,536,45,146,15,0.783,0.973,0.236,0.604,0.334
2.452,2.452,742,537,44,147,14,0.783,0.975,0.23,0.602,0.334
2.307,2.307,742,538,43,148,13,0.783,0.976,0.225,0.601,0.334
1.547,1.547,742,541,40,151,10,0.783,0.982,0.209,0.596,0.334
22.7,22.7,742,302,158,33,249,0.62,0.548,0.827,0.688,0.33
2.821,2.821,742,533,47,144,18,0.782,0.967,0.246,0.607,0.33
2.706,2.706,742,534,46,145,17,0.782,0.969,0.241,0.605,0.329
1.17,1.17,742,544,36,155,7,0.782,0.987,0.188,0.588,0.329
2.534,2.534,742,536,44,147,15,0.782,0.973,0.23,0.602,0.328
2.429,2.429,742,537,43,148,14,0.782,0.975,0.225,0.6,0.328
1.541,1.541,742,541,39,152,10,0.782,0.982,0.204,0.593,0.328
1.245,1.245,742,542,38,153,9,0.782,0.984,0.199,0.591,0.328
1.234,1.234,742,543,37,154,8,0.782,0.985,0.194,0.59,0.328
22.8,22.8,742,299,158,33,252,0.616,0.543,0.827,0.685,0.325
22.9,22.9,742,295,159,32,256,0.612,0.535,0.832,0.684,0.324
23.9,23.9,742,233,177,14,318,0.553,0.423,0.927,0.675,0.324
2.763,2.763,742,533,46,145,18,0.78,0.967,0.241,0.604,0.324
1.157,1.157,742,544,35,156,7,0.78,0.987,0.183,0.585,0.323
1.244,1.244,742,542,37,154,9,0.78,0.984,0.194,0.589,0.322
1.315,1.315,742,541,38,153,10,0.78,0.982,0.199,0.59,0.321
24,24,742,229,177,14,322,0.547,0.416,0.927,0.671,0.319
23.5,23.5,742,257,169,22,294,0.574,0.466,0.885,0.676,0.317
23.8,23.8,742,239,174,17,312,0.557,0.434,0.911,0.672,0.317
0.955,0.955,742,545,33,158,6,0.779,0.989,0.173,0.581,0.317
23.6,23.6,742,249,171,20,302,0.566,0.452,0.895,0.674,0.316
24.1,24.1,742,223,178,13,328,0.54,0.405,0.932,0.668,0.316
1.031,1.031,742,544,34,157,7,0.779,0.987,0.178,0.583,0.316
23,23,742,289,159,32,262,0.604,0.525,0.832,0.678,0.315
23.3,23.3,742,272,164,27,279,0.588,0.494,0.859,0.676,0.314
